,path,X,Y,Z
0,C:\Users\isaac\Downloads\vlogs\frames\42616.jpg,0.15593534571651474,-0.0341811477277842,0.01606209788502371
2,C:\Users\isaac\Downloads\vlogs\frames\42617.jpg,-0.021180049333188896,-0.05440536486501117,0.07128130286706541
4,C:\Users\isaac\Downloads\vlogs\frames\42618.jpg,0.2723651581913202,0.013690091339602159,-0.003074863513756305
6,C:\Users\isaac\Downloads\vlogs\frames\42619.jpg,0.02790357000210501,-0.09412085232775269,0.09336510037981868
8,C:\Users\isaac\Downloads\vlogs\frames\4262.jpg,-0.09202793222688674,-0.27610971818080393,-0.07257131043106466
10,C:\Users\isaac\Downloads\vlogs\frames\42620.jpg,-0.0922244544561842,-0.006571173365088048,0.10053281547426442
12,C:\Users\isaac\Downloads\vlogs\frames\42621.jpg,-0.0586325509994105,0.04746540140820758,0.10303671100147176
14,C:\Users\isaac\Downloads\vlogs\frames\42622.jpg,-0.05766263842721277,0.16384297981143572,0.1010276271032258
16,C:\Users\isaac\Downloads\vlogs\frames\42623.jpg,-0.4068063114651448,0.1425283454011485,0.10385990958200815
18,C:\Users\isaac\Downloads\vlogs\frames\42624.jpg,0.0928334946641921,-0.010019300555310732,0.06792549778218916
20,C:\Users\isaac\Downloads\vlogs\frames\42625.jpg,0.014448112278426488,-0.06624571467031148,0.009490486252688696
22,C:\Users\isaac\Downloads\vlogs\frames\42626.jpg,-0.10061053667324463,0.03193586769358951,0.06911507251390975
24,C:\Users\isaac\Downloads\vlogs\frames\42627.jpg,0.27528218343036154,0.1817375536127596,-0.01468137967822553
26,C:\Users\isaac\Downloads\vlogs\frames\42628.jpg,0.005278364011551612,0.05770367953346985,0.0833492532482851
28,C:\Users\isaac\Downloads\vlogs\frames\42629.jpg,0.09251773418626807,-0.12949248399988936,-0.036638573832286
31,C:\Users\isaac\Downloads\vlogs\frames\42630.jpg,-0.08463148591132252,-0.019937580878617436,0.10012858655880832
33,C:\Users\isaac\Downloads\vlogs\frames\42631.jpg,0.07431224752480435,-0.08696009002799178,0.0583489520476372
35,C:\Users\isaac\Downloads\vlogs\frames\42632.jpg,-0.025052780554280306,-0.04001271906361548,0.11155091895098039
37,C:\Users\isaac\Downloads\vlogs\frames\42633.jpg,-0.11738627357712204,-0.00862877913591401,0.03844870350525149
39,C:\Users\isaac\Downloads\vlogs\frames\42634.jpg,-0.22421239213218616,0.038199088534558584,0.16750214135929675
41,C:\Users\isaac\Downloads\vlogs\frames\42635.jpg,-0.11264597796399757,-0.012361789488077979,0.1790997786664113
43,C:\Users\isaac\Downloads\vlogs\frames\42636.jpg,-0.03246588426175949,-0.15957392548698068,0.10282752360111853
45,C:\Users\isaac\Downloads\vlogs\frames\42637.jpg,-0.03288183357645628,-0.03797705134164283,0.043066839354549115
47,C:\Users\isaac\Downloads\vlogs\frames\42638.jpg,0.2993130072084902,0.008136541798938652,-0.015217103817944933
49,C:\Users\isaac\Downloads\vlogs\frames\42639.jpg,-0.10483694444937897,-0.06603699280902672,0.1060763287771578
51,C:\Users\isaac\Downloads\vlogs\frames\4264.jpg,0.666707293778732,-0.3647628876804309,-0.017354913289243667
53,C:\Users\isaac\Downloads\vlogs\frames\42640.jpg,-0.018235786385243258,-0.008448959160907417,-0.04844458563175343
55,C:\Users\isaac\Downloads\vlogs\frames\42641.jpg,0.0774986190650975,0.05815538708675028,-0.03272640910132714
57,C:\Users\isaac\Downloads\vlogs\frames\42642.jpg,-0.024180670675867034,-0.08080602536821513,0.1535668789513198
59,C:\Users\isaac\Downloads\vlogs\frames\42643.jpg,-0.08695519375960863,-0.020850106983350266,0.04808867082692746
61,C:\Users\isaac\Downloads\vlogs\frames\42644.jpg,0.6268558234827083,-0.08889617037409302,-0.01177691257376796
63,C:\Users\isaac\Downloads\vlogs\frames\42645.jpg,0.32091349769636934,0.05319348585556797,0.06724253391459162
65,C:\Users\isaac\Downloads\vlogs\frames\42646.jpg,0.3017185625576587,-0.04768173093868941,0.03635342280661377
67,C:\Users\isaac\Downloads\vlogs\frames\42647.jpg,0.02401421550955633,-0.057878601311426976,0.08725365405049551
69,C:\Users\isaac\Downloads\vlogs\frames\42648.jpg,0.2821959094041453,0.3260467323041748,-0.12425660725466474
71,C:\Users\isaac\Downloads\vlogs\frames\42649.jpg,0.44218334676554155,0.04759301809207845,-0.12069778843814338
73,C:\Users\isaac\Downloads\vlogs\frames\4265.jpg,0.8522745351715789,-0.3250965066267558,-0.14796761023109775
75,C:\Users\isaac\Downloads\vlogs\frames\42650.jpg,0.023446276851750932,0.00021945051760701955,0.005509496786994835
77,C:\Users\isaac\Downloads\vlogs\frames\42651.jpg,-0.004059273899810385,-0.21430004680354367,-0.004455940093998406
82,C:\Users\isaac\Downloads\vlogs\frames\42655.jpg,-0.063586985835912,-0.13301731746136825,-0.09402075481345136
84,C:\Users\isaac\Downloads\vlogs\frames\42656.jpg,0.41191864200110906,-0.16241683864217954,-0.033838319210178595
86,C:\Users\isaac\Downloads\vlogs\frames\42657.jpg,0.5588611327905908,-0.2011440997387032,-0.22133002757570458
89,C:\Users\isaac\Downloads\vlogs\frames\42659.jpg,0.02605531937440018,0.1991357731017912,0.041806383510104454
91,C:\Users\isaac\Downloads\vlogs\frames\4266.jpg,0.5626176438407545,-0.045052504636624746,-0.1346673525961066
94,C:\Users\isaac\Downloads\vlogs\frames\42661.jpg,-0.015425644489229506,-0.29118412658437953,-0.2007440697305071
96,C:\Users\isaac\Downloads\vlogs\frames\42662.jpg,-0.0030877505813398706,-0.25687950770988016,-0.4365572442509988
98,C:\Users\isaac\Downloads\vlogs\frames\42663.jpg,-0.033004904350433184,-0.25445686331482487,-0.45674453317565566
